F;A;M;Z;element;J;decay mode;% branch;excitation energy [MeV];Q [MeV];T½;abundance;atomic mass [MeV];uncertain in mass [MeV];S;date;T½ [s]
;14;;4;Be;0+;B2N;5.00;0.0000;16.291;4.35 MS 17;;39.9540;0.1320;;200110;4.35E-03
;15;;4;Be;;N;?;;1.772;200 NS LT;;49.7980;0.5030;S;NUBASE;2.00E-07
;16;;4;Be;0+;2N;?;;1.581;200 NS LT;;57.6780;0.5030;S;NUBASE;2.00E-07
;6;;5;B;;2P;?;;3.702;unbound;;47.3200;2.0030;S;;0.00E+00
;7;;5;B;(3/2-);A;;0.0000;-3.223;1.4 MEV 2;;27.8700;0.0700;;200302;3.39E-22
;7;;5;B;(3/2-);P;;0.0000;2.204;1.4 MEV 2;;27.8700;0.0700;;200302;3.39E-22
;8;;5;B;2+;EC;100.00;0.0000;17.980;770 MS 3;;22.9210;0.0010;;200505;7.70E-01
;8;;5;B;2+;EA;100.00;0.0000;0.000;770 MS 3;;22.9210;0.0010;;200505;7.70E-01
;9;;5;B;3/2-;P;100.00;0.0000;0.185;0.54 KEV 21;;12.4160;0.0000;;200602;8.79E-19
;9;;5;B;3/2-;2A;100.00;0.0000;0.277;0.54 KEV 21;;12.4160;0.0000;;200602;8.79E-19
;10;;5;B;3+;;;0.0000;0.000;STABLE;19.9% 7;12.0500;0.0000;;200705;0.00E+00
;11;;5;B;3/2-;;;0.0000;0.000;STABLE;80.1% 7;8.6670;0.0000;;200006;0.00E+00
;12;;5;B;1+;B-;100.00;0.0000;13.369;20.20 MS 2;;13.3680;0.0010;;200006;2.02E-02
;12;;5;B;1+;B3A;1.58;0.0000;0.000;20.20 MS 2;;13.3680;0.0010;;199208;2.02E-02
;13;;5;B;3/2-;B-;100.00;0.0000;13.437;17.33 MS 17;;16.5620;0.0010;;200006;1.73E-02
;14;;5;B;2-;B-;100.00;0.0000;20.644;12.5 MS 5;;23.6630;0.0210;;200110;1.25E-02
;15;;5;B;;B-;100.00;0.0000;19.099;9.93 MS 7;;28.9630;0.0220;;200204;9.93E-03
;15;;5;B;;BN;93.60;0.0000;17.881;9.93 MS 7;;28.9630;0.0220;;95RE;9.93E-03
;15;;5;B;;B2N;0.40;0.0000;9.699;9.93 MS 7;;28.9630;0.0220;;95RE;9.93E-03
;16;;5;B;0-;N;;0.0000;0.038;190 PS LT;;37.1200;0.0260;;199902;1.90E-10
;17;;5;B;(3/2-);B-;100.00;0.0000;22.732;5.08 MS 5;;43.7700;0.1700;;199902;5.08E-03
;17;;5;B;(3/2-);BN;63.00;0.0000;22.005;5.08 MS 5;;43.7700;0.1700;;990203;5.08E-03
;17;;5;B;(3/2-);B2N;11.00;0.0000;17.700;5.08 MS 5;;43.7700;0.1700;;990203;5.08E-03
;17;;5;B;(3/2-);B3N;3.50;0.0000;22.680;5.08 MS 5;;43.7700;0.1700;;990203;5.08E-03
;17;;5;B;(3/2-);B4N;0.40;0.0000;22.680;5.08 MS 5;;43.7700;0.1700;;990203;5.08E-03
;18;;5;B;(4-);N;?;0.0000;0.480;26 NS LT;;51.9120;0.4010;S;NUBASE;2.60E-08
;19;;5;B;(3/2-);B-;100.00;0.0000;26.943;2.92 MS 13;;58.7770;0.4010;S;03Yo02;2.92E-03
;19;;5;B;(3/2-);BN;72.00;0.0000;26.367;2.92 MS 13;;58.7770;0.4010;S;03Yo02;2.92E-03
;19;;5;B;(3/2-);B2N;16.00;0.0000;22.200;2.92 MS 13;;58.7770;0.4010;S;03Yo02;2.92E-03
;20;;5;B;;;;;0.000;;;67.1330;0.6990;S;;0.00E+00
;21;;5;B;;;;;0.000;;;75.7210;0.9040;S;;0.00E+00
;8;;6;C;0+;P;100.00;0.0000;-0.063;230 KEV 50;;35.0820;0.0230;;200505;2.06E-21
;8;;6;C;0+;A;;0.0000;0.000;230 KEV 50;;35.0820;0.0230;;200505;2.06E-21
;9;;6;C;(3/2-);EC;100.00;0.0000;16.495;126.5 MS 9;;28.9090;0.0020;;200602;1.27E-01
;9;;6;C;(3/2-);EP;61.60;0.0000;16.680;126.5 MS 9;;28.9090;0.0020;;200602;1.27E-01
;9;;6;C;(3/2-);EA;38.40;0.0000;0.000;126.5 MS 9;;28.9090;0.0020;;200602;1.27E-01
;10;;6;C;0+;EC;100.00;0.0000;3.648;19.308 S 4;;15.6980;0.0000;;09HA12;1.93E+01
!;10;M;6;C;2+;IT;100.00;3.3537;3.354;107 FS 17;;19.0517;0.0000;;200705;1.07E-13
;11;;6;C;3/2-;EC;100.00;0.0000;1.982;20.334 M 24;;10.6500;0.0000;;02wo02;1.22E+03
;12;;6;C;0+;;;0.0000;0.000;STABLE;98.93% 8;0.0000;0.0000;;200006;0.00E+00
;13;;6;C;1/2-;;;0.0000;0.000;STABLE;1.07% 8;3.1250;0.0000;;200107;0.00E+00
;14;;6;C;0+;B-;100.00;0.0000;0.156;5700 Y 30;;3.0199;0.0000;;200110;1.80E+11
;15;;6;C;1/2+;B-;100.00;0.0000;9.772;2.449 S 5;;9.8730;0.0000;;200204;2.45E+00
;16;;6;C;0+;B-;100.00;0.0000;8.010;0.747 S 8;;13.6940;0.0030;;199902;7.47E-01
;16;;6;C;0+;BN;99.00;0.0000;5.521;0.747 S 8;;13.6940;0.0030;;199902;7.47E-01
;17;;6;C;3/2+;B-;100.00;0.0000;13.167;193 MS 13;;21.0320;0.0170;;199902;1.93E-01
;17;;6;C;3/2+;BN;32.00;0.0000;7.284;193 MS 13;;21.0320;0.0170;;199902;1.93E-01
;18;;6;C;0+;B-;100.00;0.0000;11.812;92 MS 2;;24.9190;0.0300;;199607;9.20E-02
;18;;6;C;0+;BN;31.50;0.0000;8.983;92 MS 2;;24.9190;0.0300;;199607;9.20E-02
;19;;6;C;1/2+;B-;;0.0000;16.559;49 MS 4;;32.4140;0.0980;;90MU06;4.90E-02
;19;;6;C;1/2+;BN;61.00;0.0000;11.235;49 MS 4;;32.4140;0.0980;;90MU06;4.90E-02
;20;;6;C;0+;B-;100.00;0.0000;15.792;14 MS +6-5;;37.5570;0.2390;;199810;1.40E-02
;20;;6;C;0+;BN;72.00;0.0000;13.624;14 MS +6-5;;37.5570;0.2390;;199810;1.40E-02
;21;;6;C;(1/2+);N;?;0.0000;0.331;30 NS LT;;45.6430;0.4010;S;NUBASE;3.00E-08
;22;;6;C;0+;B-;100.00;0.0000;21.243;6.1 MS +14-12;;52.1360;0.5030;S;200512;6.10E-03
;22;;6;C;0+;BN;61.00;0.0000;19.959;6.1 MS +14-12;;52.1360;0.5030;S;200512;6.10E-03
;22;;6;C;0+;B2N;< 37.00;0.0000;0.000;6.1 MS +14-12;;52.1360;0.5030;S;200512;6.10E-03
;23;;6;C;;;;;0.000;;;62.6710;0.9970;S;;0.00E+00
;10;;7;N;;P;100.00;0.0000;2.601;;;38.8000;0.4000;;200705;0.00E+00
;11;;7;N;1/2+;P;100.00;0.0000;1.316;0.83 MEV 3;;24.3030;0.0460;;KELLEY;5.72E-22
;12;;7;N;1+;EC;100.00;0.0000;17.338;11.000 MS 16;;17.3380;0.0010;;200006;1.10E-02
;13;;7;N;1/2-;EC;100.00;0.0000;2.220;9.965 M 4;;5.3450;0.0000;;200006;5.98E+02
;14;;7;N;1+;;;0.0000;0.000;STABLE;99.636% 20;2.8634;0.0000;;200110;0.00E+00
!;14;M;7;N;4-;P;79.00;8.4900;0.939;13.2 FS 21;;11.3534;0.0000;;200110;1.32E-14
!;14;M;7;N;4-;IT;21.00;8.4900;8.490;13.2 FS 21;;11.3534;0.0000;;200110;1.32E-14
!;14;M;7;N;5+;P;81.00;8.9640;1.413;73 FS 12;;11.8274;0.0000;;200110;7.30E-14
!;14;M;7;N;5+;IT;19.00;8.9640;8.964;73 FS 12;;11.8274;0.0000;;200110;7.30E-14
!;14;M;7;N;3+;P;80.00;9.1290;1.578;9 FS 4;;11.9924;0.0000;;200110;9.00E-15
!;14;M;7;N;3+;IT;20.00;9.1290;9.129;9 FS 4;;11.9924;0.0000;;200110;9.00E-15
;15;;7;N;1/2-;;;0.0000;0.000;STABLE;0.364% 20;0.1014;0.0000;;200204;0.00E+00
!;15;M;7;N;9/2+;P;;10.6932;0.486;12 FS 6;;10.7946;0.0000;;200204;1.20E-14
!;15;M;7;N;9/2+;IT;;10.6932;10.693;12 FS 6;;10.7946;0.0000;;200204;1.20E-14
;16;;7;N;2-;B-;100.00;0.0000;10.421;7.13 S 2;;5.6830;0.0020;;199902;7.13E+00
;16;;7;N;2-;BA;1.2E-3;0.0000;0.000;7.13 S 2;;5.6830;0.0020;;199902;7.13E+00
;17;;7;N;1/2-;B-;100.00;0.0000;8.680;4.173 S 4;;7.8700;0.0150;;199902;4.17E+00
;17;;7;N;1/2-;BN;95.1;0.0000;4.537;4.173 S 4;;7.8700;0.0150;;199902;4.17E+00
;18;;7;N;1-;B-;100.00;0.0000;13.896;620 MS 8;;13.1130;0.0180;;07BU01;6.20E-01
;18;;7;N;1-;BA;12.20;0.0000;7.672;620 MS 8;;13.1130;0.0180;;07bu01;6.20E-01
;18;;7;N;1-;BN;7.00;0.0000;5.852;620 MS 8;;13.1130;0.0180;;07BU01;6.20E-01
;19;;7;N;;B-;100.00;0.0000;12.527;336 MS 3;;15.8560;0.0160;;06SU12;3.36E-01
;19;;7;N;;BN;41.80;0.0000;8.572;336 MS 3;;15.8560;0.0160;;06SU12;3.36E-01
;20;;7;N;2-;B-;100.00;0.0000;17.968;136 MS 3;;21.7650;0.0550;;06SU12;1.36E-01
;20;;7;N;2-;BN;42.90;0.0000;10.359;136 MS 3;;21.7650;0.0550;;06SU12;1.36E-01
;21;;7;N;(1/2-);B-;100.00;0.0000;17.188;83 MS 8;;25.2510;0.0950;;201002;8.30E-02
;21;;7;N;(1/2-);BN;90.50;0.0000;13.382;83 MS 8;;25.2510;0.0950;;201002;8.30E-02
