F;A;M;Z;element;J;decay mode;% branch;excitation energy [MeV];Q [MeV];T½;abundance;atomic mass [MeV];uncertain in mass [MeV];S;date;T½ [s]
;55;;29;Cu;(3/2-);EC;100.00;0.0000;13.711;27 MS 8;;-31.5680;0.2980;S;07DO17;2.70E-02
;55;;29;Cu;(3/2-);EP;15.0;0.0000;9.096;27 MS 8;;-31.5680;0.2980;S;07DO17;2.70E-02
;56;;29;Cu;(4+);EC;100.00;0.0000;15.303;93 MS 3;;-38.2380;0.4010;S;201105;9.30E-02
;56;;29;Cu;(4+);EP;0.40;0.0000;8.137;93 MS 3;;-38.2380;0.4010;S;201105;9.30E-02
;57;;29;Cu;3/2-;EC;100.00;0.0000;8.772;196.3 MS 7;;-47.3080;0.0000;;981203;1.96E-01
;58;;29;Cu;1+;EC;100.00;0.0000;8.566;3.204 S 7;;-51.6670;0.0000;;201004;3.20E+00
!;58;M;29;Cu;(9+);P;96.00;8.9169;6.048;0.22 PS 18;;-42.7501;0.0000;;201004;2.20E-13
;59;;29;Cu;3/2-;EC;100.00;0.0000;4.798;81.5 S 5;;-56.3570;0.0000;;200204;8.15E+01
;60;;29;Cu;2+;EC;100.00;0.0000;6.128;23.7 M 4;;-58.3440;0.0010;;200311;1.42E+03
;61;;29;Cu;3/2-;EC;100.00;0.0000;2.237;3.333 H 5;;-61.9830;0.0000;;199911;1.20E+04
;62;;29;Cu;1+;EC;100.00;0.0000;3.948;9.673 M 8;;-62.7860;0.0000;;200101;5.80E+02
;63;;29;Cu;3/2-;;;0.0000;0.000;STABLE;69.15% 15;-65.5790;0.0000;;200906;0.00E+00
;64;;29;Cu;1+;EC;61.50;0.0000;0.579;12.701 H 2;;-65.4240;0.0000;;200703;4.57E+04
;64;;29;Cu;1+;B-;38.50;0.0000;0.579;12.701 H 2;;-65.4240;0.0000;;200703;4.57E+04
;65;;29;Cu;3/2-;;;0.0000;0.000;STABLE;30.85% 15;-67.2630;0.0000;;201009;0.00E+00
;66;;29;Cu;1+;B-;100.00;0.0000;2.641;5.120 M 14;;-66.2570;0.0000;;201004;3.07E+02
;67;;29;Cu;3/2-;B-;100.00;0.0000;0.562;61.83 H 12;;-67.3180;0.0010;;200512;2.23E+05
!;67;M;29;Cu;15/2+;IT;100.00;3.4636;3.464;2.4 NS LT;;-63.8544;0.0010;;200512;2.40E-09
;68;;29;Cu;1+;B-;100.00;0.0000;4.440;30.9 S 6;;-65.5670;0.0010;;work;3.09E+01
;68;M;29;Cu;(6-);IT;84.00;0.7216;0.722;3.75 M 5;;-64.8454;0.0010;;200211;2.25E+02
;68;M;29;Cu;(6-);B-;16.00;0.7216;5.162;3.75 M 5;;-64.8454;0.0010;;200211;2.25E+02
;69;;29;Cu;3/2-;B-;100.00;0.0000;2.682;2.85 M 15;;-65.7360;0.0010;;200006;1.71E+02
;70;;29;Cu;(6-);B-;100.00;0.0000;6.589;44.5 S 2;;-62.9760;0.0010;;200412;4.45E+01
;70;M;29;Cu;(3-);B-;52.00;0.1011;6.690;33 S 2;;-62.8749;0.0010;;200412;3.30E+01
;70;M;29;Cu;(3-);IT;48.00;0.1011;0.101;33 S 2;;-62.8749;0.0010;;200412;3.30E+01
;70;M;29;Cu;1+;B-;93.20;0.2426;6.832;6.6 S 2;;-62.7334;0.0010;;200412;6.60E+00
;70;M;29;Cu;1+;IT;6.80;0.2426;0.243;6.6 S 2;;-62.7334;0.0010;;200412;6.60E+00
;71;;29;Cu;3/2(-);B-;100.00;0.0000;4.616;19.4 S 16;;-62.7110;0.0010;;201012;1.94E+01
;72;;29;Cu;(2);B-;100.00;0.0000;8.348;6.63 S 3;;-59.7820;0.0010;;201002;6.63E+00
;73;;29;Cu;(3/2-);B-;100.00;0.0000;6.424;4.2 S 3;;-58.9870;0.0010;;200403;4.20E+00
;74;;29;Cu;(1+,3+);B-;100.00;0.0000;9.703;1.594 S 10;;-56.0060;0.0060;;950531;1.59E+00
F;75;;29;Cu;(5/2-);B-;100.00;0.0000;8.349;1.222 S 8;;-54.4710;0.0020;;11IL01;1.22E+00
F;75;;29;Cu;(5/2-);BN;3.50;0.0000;3.518;1.222 S 8;;-54.4710;0.0020;;11IL01;1.22E+00
;76;;29;Cu;(3,4);B-;100.00;0.0000;11.161;637 MS 7;;-50.9750;0.0060;;10HO12;6.37E-01
;76;;29;Cu;(3,4);BN;7.20;0.0000;3.422;637 MS 7;;-50.9750;0.0060;;09WI03;6.37E-01
;76;M;29;Cu;;B-;100.00;0.0000;11.161;1.27 S 30;;-50.9750;0.0060;;950315;1.27E+00
;77;;29;Cu;(5/2-);B-;100.00;0.0000;10.145;468.1 MS 20;;-48.2970;0.5030;;WTAVER;4.68E-01
;77;;29;Cu;(5/2-);BN;30.30;0.0000;5.488;468.1 MS 20;;-48.2970;0.5030;;09IL01;4.68E-01
;78;;29;Cu;(4-,5-,6-);B-;100.00;0.0000;12.594;335 MS 11;;-44.4970;0.5030;;200910;3.35E-01
;78;;29;Cu;(4-,5-,6-);BN;> 65.00;0.0000;5.902;335 MS 11;;-44.4970;0.5030;;200910;3.35E-01
;79;;29;Cu;;B-;100.00;0.0000;11.092;188 MS 25;;-41.8990;0.4010;S;200206;1.88E-01
;79;;29;Cu;;BN;55.00;0.0000;6.944;188 MS 25;;-41.8990;0.4010;S;200206;1.88E-01
;80;;29;Cu;;B-;;0.0000;15.395;0.17 S +11-5;;-36.4310;0.5960;S;10HO12;1.70E-01
;81;;29;Cu;;B-;;0.0000;0.000;632 NS GT;;0.0000;0.0000;;201008;6.32E-07
;81;;29;Cu;;B2N;;0.0000;0.000;632 NS GT;;0.0000;0.0000;;201008;6.32E-07
;81;;29;Cu;;BN;;0.0000;0.000;632 NS GT;;0.0000;0.0000;;201008;6.32E-07
;82;;29;Cu;;B-;;0.0000;0.000;636 NS GT;;0.0000;0.0000;;201008;6.36E-07
;82;;29;Cu;;BN;;0.0000;0.000;636 NS GT;;0.0000;0.0000;;201008;6.36E-07
;82;;29;Cu;;B2N;;0.0000;0.000;636 NS GT;;0.0000;0.0000;;201008;6.36E-07
;54;;30;Zn;0+;2P;92;0.0000;1.509;1.59 MS +60-35;;-5.9790;0.4450;S;11PRL;1.59E-03
;55;;30;Zn;(5/2-);EC;100.0;0.0000;16.702;19.8 MS 13;;-14.4010;0.4010;S;07DO17;1.98E-02
;55;;30;Zn;(5/2-);EP;91.0;0.0000;16.999;19.8 MS 13;;-14.4010;0.4010;S;07DO17;1.98E-02
;56;;30;Zn;0+;EC;100.00;0.0000;12.873;30.0 MS 17;;-25.1780;0.4010;S;201105;3.00E-02
;56;;30;Zn;0+;EP;86.00;0.0000;12.319;30.0 MS 17;;-25.1780;0.4010;S;201105;3.00E-02
;57;;30;Zn;(7/2-);EC;100.00;0.0000;14.510;38 MS 4;;-32.5460;0.2050;S;02LO13;3.80E-02
;57;;30;Zn;(7/2-);EP;# 65.00;0.0000;13.815;38 MS 4;;-32.5460;0.2050;S;02LO13;3.80E-02
;58;;30;Zn;0+;EC;100.00;0.0000;9.364;86 MS 8;;-42.2980;0.0500;;201004;8.60E-02
;58;;30;Zn;0+;EP;<  3.00;0.0000;6.495;86 MS 8;;-42.2980;0.0500;;201004;8.60E-02
;59;;30;Zn;3/2-;EC;100.00;0.0000;9.097;182.0 MS 18;;-47.2140;0.0000;;200303;1.82E-01
;59;;30;Zn;3/2-;EP;0.10;0.0000;5.678;182.0 MS 18;;-47.2140;0.0000;;200303;1.82E-01
;60;;30;Zn;0+;EC;100.00;0.0000;4.156;2.38 M 5;;-54.1730;0.0000;;200311;1.43E+02
;61;;30;Zn;3/2-;EC;100.00;0.0000;5.638;89.1 S 2;;-56.3430;0.0160;;199911;8.91E+01
;61;M;30;Zn;1/2-;IT;;0.0884;0.088;430 MS LT;;-56.2546;0.0160;;199911;4.30E-01
;61;M;30;Zn;3/2-;IT;;0.4181;0.418;0.14 S 7;;-55.9249;0.0160;;199911;1.40E-01
;61;M;30;Zn;5/2-;IT;;0.7560;0.756;0.13 S LT;;-55.5870;0.0160;;199911;1.30E-01
;62;;30;Zn;0+;EC;100.00;0.0000;1.626;9.186 H 13;;-61.1670;0.0000;;200101;3.31E+04
;63;;30;Zn;3/2-;EC;100.00;0.0000;3.367;38.47 M 5;;-62.2130;0.0010;;200906;2.31E+03
;64;;30;Zn;0+;2EC;;0.0000;0.000;7.0E20 Y GE;49.17% 75;-66.0030;0.0000;;09BE27;2.21E+28
;65;;30;Zn;5/2-;EC;100.00;0.0000;1.352;243.93 D 9;;-65.9110;0.0000;;201009;2.11E+07
;66;;30;Zn;0+;;;0.0000;0.000;STABLE;27.73% 98;-68.8990;0.0000;;201004;0.00E+00
;67;;30;Zn;5/2-;;;0.0000;0.000;STABLE;4.04% 16;-67.8800;0.0000;;200512;0.00E+00
;68;;30;Zn;0+;;;0.0000;0.000;STABLE;18.45% 63;-70.0060;0.0000;;200008;0.00E+00
;69;;30;Zn;1/2-;B-;100.00;0.0000;0.910;56.4 M 9;;-68.4170;0.0000;;200006;3.38E+03
;69;M;30;Zn;9/2+;IT;99.97;0.4386;0.439;13.76 H 2;;-67.9784;0.0000;;200006;4.95E+04
;69;M;30;Zn;9/2+;B-;0.03;0.4386;1.349;13.76 H 2;;-67.9784;0.0000;;200006;4.95E+04
;70;;30;Zn;0+;2B-;;0.0000;0.998;2.3E+17 Y GE;0.61% 10;-69.5640;0.0010;;09BE27;7.26E+24
;71;;30;Zn;1/2-;B-;100.00;0.0000;2.813;2.45 M 10;;-67.3280;0.0020;;201012;1.47E+02
;71;M;30;Zn;9/2+;B-;100.00;0.1577;2.971;3.96 H 5;;-67.1703;0.0020;;201012;1.43E+04
;71;M;30;Zn;9/2+;IT;&  0.05;0.1577;0.158;3.96 H 5;;-67.1703;0.0020;;201012;1.43E+04
;72;;30;Zn;0+;B-;100.00;0.0000;0.458;46.5 H 1;;-68.1450;0.0020;;201002;1.67E+05
;73;;30;Zn;(1/2)-;B-;100.00;0.0000;4.289;23.5 S 10;;-65.5930;0.0010;;200403;2.35E+01
;73;M;30;Zn;;B-;;0.0000;4.289;5.8 S 8;;-65.5930;0.0010;;200403;5.80E+00
;73;M;30;Zn;;IT;;0.0000;0.000;5.8 S 8;;-65.5930;0.0010;;200403;5.80E+00
;73;M;30;Zn;(5/2+);IT;100.00;0.1955;0.196;13.0 MS 2;;-65.3975;0.0010;;200403;1.30E-02
F;74;;30;Zn;0+;B-;100.00;0.0000;2.341;95.6 S 12;;-65.7560;0.0020;;950531;9.56E+01
F;75;;30;Zn;(7/2+);B-;100.00;0.0000;5.996;10.2 S 2;;-62.5580;0.0010;;199907;1.02E+01
F;76;;30;Zn;0+;B-;100.00;0.0000;4.160;5.7 S 3;;-62.3030;0.0010;;950315;5.70E+00
F;77;;30;Zn;(7/2+);B-;100.00;0.0000;7.270;2.08 S 5;;-58.7890;0.0010;;199708;2.08E+00
;77;M;30;Zn;(1/2-);IT;> 50.00;0.7724;0.772;1.05 S 10;;-58.0166;0.0010;;199708;1.05E+00
;77;M;30;Zn;(1/2-);B-;< 50.00;0.7724;8.042;1.05 S 10;;-58.0166;0.0010;;199708;1.05E+00
F;78;;30;Zn;0+;B-;100.00;0.0000;6.364;1.47 S 15;;-57.4830;0.0010;;200910;1.47E+00
!;78;M;30;Zn;(8+);IT;100.00;2.6737;2.674;319 NS 9;;-54.8093;0.0010;;200910;3.19E-07
F;79;;30;Zn;(9/2+);B-;100.00;0.0000;9.090;0.995 S 19;;-53.4320;0.0020;;200206;9.95E-01
F;79;;30;Zn;(9/2+);BN;1.30;0.0000;2.216;0.995 S 19;;-53.4320;0.0020;;200206;9.95E-01
F;80;;30;Zn;0+;B-;100.00;0.0000;7.290;0.54 S 2;;-51.6480;0.0020;;200508;5.40E-01
F;80;;30;Zn;0+;BN;1.00;0.0000;2.593;0.54 S 2;;-51.6480;0.0020;;200508;5.40E-01
;81;;30;Zn;(5/2+);B-;100.00;0.0000;11.856;304 MS 13;;-46.1990;0.0050;;10PA33;3.04E-01
;81;;30;Zn;(5/2+);BN;7.50;0.0000;4.936;304 MS 13;;-46.1990;0.0050;;200810;3.04E-01
;82;;30;Zn;0+;B-;;0.0000;10.647;150 NS GT;;-42.6070;0.4010;S;200305;1.50E-07
;83;;30;Zn;;B-;;0.0000;13.087;300 NS GT;;-36.7380;0.5030;S;200909;3.00E-07
;83;;30;Zn;;BN;;0.0000;8.733;300 NS GT;;-36.7380;0.5030;S;200909;3.00E-07
;84;;30;Zn;0+;B-;;0.0000;0.000;633 NS GT;;0.0000;0.0000;;201008;6.33E-07
;84;;30;Zn;0+;B2N;;0.0000;0.000;633 NS GT;;0.0000;0.0000;;201008;6.33E-07
;84;;30;Zn;0+;BN;;0.0000;0.000;633 NS GT;;0.0000;0.0000;;201008;6.33E-07
;85;;30;Zn;;B-;?;;0.000;637 NS GT;;0.0000;0.0000;;10OH02;6.37E-07
;85;;30;Zn;;BN;?;;0.000;637 NS GT;;0.0000;0.0000;;10OH02;6.37E-07
;85;;30;Zn;;B2N;?;;0.000;637 NS GT;;0.0000;0.0000;;10OH02;6.37E-07
;56;;31;Ga;;P;?;0.0000;2.892;;;-4.1920;0.4010;S;;0.00E+00
;57;;31;Ga;;P;?;0.0000;2.538;;;-15.5930;0.2980;S;;0.00E+00
;58;;31;Ga;;P;?;0.0000;1.525;;;-23.8090;0.1960;S;;0.00E+00
;59;;31;Ga;;P;?;0.0000;0.888;;;-33.9720;0.1680;S;;0.00E+00
;60;;31;Ga;(2+);EC;98.40;0.0000;14.189;70 MS 13;;-39.7840;0.1960;S;200311;7.00E-02
;60;;31;Ga;(2+);EP;1.60;0.0000;9.070;70 MS 13;;-39.7840;0.1960;S;200311;7.00E-02
;60;;31;Ga;(2+);EA;<  0.02;0.0000;11.480;70 MS 13;;-39.7840;0.1960;S;200311;7.00E-02
;61;;31;Ga;3/2-;EC;100.00;0.0000;9.255;167 MS 3;;-47.0880;0.0520;;200909;1.67E-01
;61;;31;Ga;3/2-;EP;<  0.25;0.0000;3.965;167 MS 3;;-47.0880;0.0520;;200909;1.67E-01
;62;;31;Ga;0+;EC;100.00;0.0000;9.171;116.121 MS 21;;-51.9860;0.0000;;201101;1.16E-01
;62;;31;Ga;0+;EP;;0.0000;2.694;116.121 MS 21;;-51.9860;0.0000;;201101;1.16E-01
;63;;31;Ga;3/2-;EC;100.00;0.0000;5.666;32.4 S 5;;-56.5470;0.0010;;200906;3.24E+01
;64;;31;Ga;0+;EC;100.00;0.0000;7.169;2.627 M 12;;-58.8330;0.0010;;200703;1.58E+02
;65;;31;Ga;3/2-;EC;100.00;0.0000;3.254;15.2 M 2;;-62.6570;0.0000;;201009;9.12E+02
;66;;31;Ga;0+;EC;100.00;0.0000;5.175;9.49 H 3;;-63.7240;0.0030;;201004;3.42E+04
;67;;31;Ga;3/2-;EC;100.00;0.0000;1.001;3.2617 D 5;;-66.8780;0.0010;;200512;2.82E+05
;68;;31;Ga;1+;EC;100.00;0.0000;2.921;67.71 M 9;;-67.0850;0.0010;;200211;4.06E+03
;69;;31;Ga;3/2-;;;0.0000;0.000;STABLE;60.108% 9;-69.3270;0.0010;;200006;0.00E+00
;70;;31;Ga;1+;B-;99.59;0.0000;1.653;21.14 M 3;;-68.9100;0.0010;;200412;1.27E+03
;70;;31;Ga;1+;EC;0.41;0.0000;0.655;21.14 M 3;;-68.9100;0.0010;;200412;1.27E+03
;71;;31;Ga;3/2-;;;0.0000;0.000;STABLE;39.892% 9;-70.1390;0.0000;;201012;0.00E+00
;72;;31;Ga;3-;B-;100.00;0.0000;3.997;14.10 H 2;;-68.5880;0.0000;;201002;5.08E+04
!;72;M;31;Ga;(0+);IT;;0.1197;0.120;39.68 MS 13;;-68.4683;0.0000;;201002;3.97E-02
;73;;31;Ga;3/2-;B-;100.00;0.0000;1.598;4.86 H 3;;-69.6990;0.0010;;200403;1.75E+04
;74;;31;Ga;(3-);B-;100.00;0.0000;5.373;8.12 M 12;;-68.0490;0.0030;;950531;4.87E+02
;74;M;31;Ga;(0);IT;75.00;0.0600;0.060;9.5 S 10;;-67.9890;0.0030;;950531;9.50E+00
;74;M;31;Ga;(0);B-;< 50.00;0.0600;5.433;9.5 S 10;;-67.9890;0.0030;;950531;9.50E+00
F;75;;31;Ga;3/2-;B-;100.00;0.0000;3.392;126 S 2;;-68.4640;0.0020;;11MAAA;1.26E+02
F;76;;31;Ga;2+;B-;100.00;0.0000;6.916;32.6 S 6;;-66.2960;0.0010;;11MAAA;3.26E+01
F;77;;31;Ga;3/2-;B-;100.00;0.0000;5.222;13.2 S 2;;-65.9920;0.0020;;11MAAA;1.32E+01
F;78;;31;Ga;2+;B-;100.00;0.0000;8.156;5.09 S 5;;-63.7050;0.0010;;11MAAA;5.09E+00
!;78;M;31;Ga;6;IT;100.00;0.5596;0.560;500 NS LT;;-63.1454;0.0010;;200910;5.00E-07
F;79;;31;Ga;3/2-;B-;100.00;0.0000;6.979;2.847 S 3;;-62.5470;0.0010;;10CH50;2.85E+00
F;79;;31;Ga;3/2-;BN;0.09;0.0000;1.281;2.847 S 3;;-62.5470;0.0010;;10CH50;2.85E+00
F;80;;31;Ga;3;B-;100.00;0.0000;10.380;1.676 S 14;;-59.2230;0.0020;;10CH50;1.68E+00
F;80;;31;Ga;3;BN;0.86;0.0000;2.282;1.676 S 14;;-59.2230;0.0020;;10CH50;1.68E+00
F;81;;31;Ga;5/2-;B-;100.00;0.0000;8.320;1.217 S 5;;-57.6270;0.0030;;10CH50;1.22E+00
F;81;;31;Ga;5/2-;BN;11.90;0.0000;3.461;1.217 S 5;;-57.6270;0.0030;;10CH50;1.22E+00
F;82;;31;Ga;(1,2,3);B-;100.00;0.0000;12.520;0.599 S 2;;-52.9300;0.0020;;200305;5.99E-01
F;82;;31;Ga;(1,2,3);BN;19.80;0.0000;5.128;0.599 S 2;;-52.9300;0.0020;;200305;5.99E-01
!;82;m;31;Ga;;IT;;0.0000;0.000;500 NS LT;;-52.9300;0.0020;;09FO05;5.00E-07
F;83;;31;Ga;;B-;100.00;0.0000;11.513;308.1 MS 10;;-49.2570;0.0020;;200909;3.08E-01
F;83;;31;Ga;;BN;62.80;0.0000;8.165;308.1 MS 10;;-49.2570;0.0020;;200909;3.08E-01
F;84;;31;Ga;(0-);B-;100.00;0.0000;14.140;0.085 S 10;;-44.2830;0.4010;S;10WI03;8.50E-02
F;84;;31;Ga;(0-);BN;74.00;0.0000;8.724;0.085 S 10;;-44.2830;0.4010;S;200910;8.50E-02
;84;M;31;Ga;(3-,4-);B-;100.00;0.0000;14.140;0.085 S LT;;-44.2830;0.4010;S;200910;8.50E-02
;84;M;31;Ga;(3-,4-);BN;?;0.0000;8.724;0.085 S LT;;-44.2830;0.4010;S;200910;8.50E-02
;85;;31;Ga;(1/2-,3/2-;B-;;0.0000;13.013;100 MS LT;;-40.2310;0.5030;S;10WI03;1.00E-01
;85;;31;Ga;(1/2-,3/2-;BN;> 35.0;0.0000;10.121;100 MS LT;;-40.2310;0.5030;S;10WI03;1.00E-01
;86;;31;Ga;;B-;;0.0000;15.491;150 NS GT;;-34.4560;0.6990;S;201102;1.50E-07
;86;;31;Ga;;BN;;0.0000;10.642;150 NS GT;;-34.4560;0.6990;S;201102;1.50E-07
;87;;31;Ga;;B-;;0.0000;0.000;634 NS GT;;0.0000;0.0000;;201008;6.34E-07
;87;;31;Ga;;BN;;0.0000;0.000;634 NS GT;;0.0000;0.0000;;201008;6.34E-07
;87;;31;Ga;;B2N;;0.0000;0.000;634 NS GT;;0.0000;0.0000;;201008;6.34E-07
;58;;32;Ge;0+;2P;?;0.0000;2.776;;;-7.6940;0.5960;S;;0.00E+00
;59;;32;Ge;;2P;?;0.0000;1.222;;;-16.4500;0.4010;S;;0.00E+00
;60;;32;Ge;0+;EP;;0.0000;12.204;110 NS GT;;-27.6090;0.1960;S;200906;1.10E-07
;60;;32;Ge;0+;EC;;0.0000;12.231;110 NS GT;;-27.6090;0.1960;S;200906;1.10E-07
;61;;32;Ge;(3/2-);EC;100.00;0.0000;13.361;44 MS 6;;-33.7290;0.2980;S;200909;4.40E-02
;61;;32;Ge;(3/2-);EP;> 58.00;0.0000;13.169;44 MS 6;;-33.7290;0.2980;S;200909;4.40E-02
;62;;32;Ge;0+;EC;100.00;0.0000;9.757;129 MS 35;;-42.2430;0.1400;S;201101;1.29E-01
;62;;32;Ge;0+;EP;;0.0000;6.813;129 MS 35;;-42.2430;0.1400;S;201101;1.29E-01
;63;;32;Ge;3/2-;EC;100.00;0.0000;9.637;150 MS 9;;-46.9210;0.0370;;200906;1.50E-01
;64;;32;Ge;0+;EC;100.00;0.0000;4.484;63.7 S 25;;-54.3150;0.0030;;200703;6.37E+01
;65;;32;Ge;3/2-;EC;100.00;0.0000;6.243;30.9 S 5;;-56.4800;0.0020;;201009;3.09E+01
;65;;32;Ge;3/2-;EP;0.01;0.0000;2.300;30.9 S 5;;-56.4800;0.0020;;201009;3.09E+01
;66;;32;Ge;0+;EC;100.00;0.0000;2.100;2.26 H 5;;-61.6060;0.0020;;201004;8.14E+03
;67;;32;Ge;1/2-;EC;100.00;0.0000;4.222;18.9 M 3;;-62.6570;0.0040;;200512;1.13E+03
;68;;32;Ge;0+;EC;100.00;0.0000;0.106;270.95 D 16;;-66.9780;0.0010;;200211;2.34E+07
;69;;32;Ge;5/2-;EC;100.00;0.0000;2.227;39.05 H 10;;-67.1000;0.0010;;200006;1.41E+05
!;69;M;32;Ge;1/2-;IT;100.00;0.0868;0.087;5.1 US 2;;-67.0132;0.0010;;200006;5.10E-06
!;69;M;32;Ge;9/2+;IT;100.00;0.3979;0.398;2.81 US 5;;-66.7021;0.0010;;200006;2.81E-06
;70;;32;Ge;0+;;;0.0000;0.000;STABLE;20.57% 27;-70.5610;0.0000;;200412;0.00E+00
;71;;32;Ge;1/2-;EC;100.00;0.0000;0.233;11.43 D 3;;-69.9060;0.0000;;201012;9.88E+05
;71;M;32;Ge;9/2+;IT;100.00;0.1984;0.198;20.41 MS 18;;-69.7076;0.0000;;201012;2.04E-02
;72;;32;Ge;0+;;;0.0000;0.000;STABLE;27.45% 32;-72.5850;0.0000;;201002;0.00E+00
;73;;32;Ge;9/2+;;;0.0000;0.000;STABLE;7.75% 12;-71.2970;0.0000;;200403;0.00E+00
;73;M;32;Ge;1/2-;IT;100.00;0.0667;0.067;0.499 S 11;;-71.2303;0.0000;;200403;4.99E-01
;74;;32;Ge;0+;;;0.0000;0.000;STABLE;36.50% 20;-73.4220;0.0000;;950531;0.00E+00
;75;;32;Ge;1/2-;B-;100.00;0.0000;1.176;82.78 M 4;;-71.8560;0.0000;;199907;4.97E+03
;75;M;32;Ge;7/2+;IT;99.97;0.1397;0.140;47.7 S 5;;-71.7163;0.0000;;199907;4.77E+01
;75;M;32;Ge;7/2+;B-;0.03;0.1397;1.316;47.7 S 5;;-71.7163;0.0000;;199907;4.77E+01
F;76;;32;Ge;0+;;;0.0000;0.000;STABLE;7.73% 12;-73.2120;0.0000;;199503;0.00E+00
F;77;;32;Ge;7/2+;B-;100.00;0.0000;2.703;11.30 H 1;;-71.2130;0.0000;;199708;4.07E+04
;77;M;32;Ge;1/2-;B-;81.00;0.1597;2.863;52.9 S 6;;-71.0533;0.0000;;199708;5.29E+01
;77;M;32;Ge;1/2-;IT;19.00;0.1597;0.160;52.9 S 6;;-71.0533;0.0000;;199708;5.29E+01
F;78;;32;Ge;0+;B-;100.00;0.0000;0.955;88.0 M 10;;-71.8620;0.0030;;200910;5.28E+03
F;79;;32;Ge;(1/2)-;B-;100.00;0.0000;4.148;18.98 S 3;;-69.5260;0.0370;;200206;1.90E+01
;79;M;32;Ge;(7/2+);B-;96.00;0.1859;4.334;39.0 S 10;;-69.3401;0.0370;;200206;3.90E+01
;79;M;32;Ge;(7/2+);IT;4.00;0.1859;0.186;39.0 S 10;;-69.3401;0.0370;;200206;3.90E+01
F;80;;32;Ge;0+;B-;100.00;0.0000;2.644;29.5 S 4;;-69.5350;0.0020;;200508;2.95E+01
F;81;;32;Ge;(9/2+);B-;100.00;0.0000;6.230;7.6 S 6;;-66.2910;0.0020;;200810;7.60E+00
;81;M;32;Ge;(1/2+);B-;100.00;0.6791;6.909;7.6 S 6;;-65.6119;0.0020;;200810;7.60E+00
F;82;;32;Ge;0+;B-;100.00;0.0000;4.700;4.56 S 26;;-65.4150;0.0020;;201102;4.56E+00
F;83;;32;Ge;(5/2)+;B-;100.00;0.0000;8.980;1.85 S 6;;-60.9760;0.0020;;200909;1.85E+00
F;84;;32;Ge;0+;B-;100.00;0.0000;7.836;0.954 S 14;;-58.1480;0.0030;;200910;9.54E-01
F;84;;32;Ge;0+;BN;10.20;0.0000;3.563;0.954 S 14;;-58.1480;0.0030;;200910;9.54E-01
F;85;;32;Ge;(1/2+,5/2+;B-;100.00;0.0000;10.256;0.56 S 5;;-53.1230;0.0030;;970421;5.60E-01
F;85;;32;Ge;(1/2+,5/2+;BN;14.00;0.0000;4.943;0.56 S 5;;-53.1230;0.0030;;970421;5.60E-01
F;86;;32;Ge;0+;B-;;0.0000;9.306;150 NS GT;;-49.7600;0.4010;S;201102;1.50E-07
F;86;;32;Ge;0+;BN;;0.0000;5.407;150 NS GT;;-49.7600;0.4010;S;201102;1.50E-07
F;87;;32;Ge;(5/2+);B-;100.00;0.0000;11.746;0.14 S AP;;-44.2370;0.5030;S;200205;1.40E-01
F;87;;32;Ge;(5/2+);BN;;0.0000;6.842;0.14 S AP;;-44.2370;0.5030;S;200205;1.40E-01
;88;;32;Ge;0+;B-;100.00;0.0000;11.150;300 NS GE;;-40.2410;0.6990;S;200508;3.00E-07
;89;;32;Ge;;B-;?;0.0000;13.451;300 NS GE;;-33.8500;0.8010;S;199811;3.00E-07
;90;;32;Ge;0+;B-;;0.0000;0.000;635 NS GT;;0.0000;0.0000;;201008;6.35E-07
;90;;32;Ge;0+;BN;;0.0000;0.000;635 NS GT;;0.0000;0.0000;;201008;6.35E-07
;90;;32;Ge;0+;B2N;;0.0000;0.000;635 NS GT;;0.0000;0.0000;;201008;6.35E-07
;60;;33;As;;P;?;0.0000;3.311;;;-6.0730;0.5960;S;;0.00E+00
;61;;33;As;;P;?;0.0000;2.427;;;-17.8190;0.5960;S;;0.00E+00
;62;;33;As;;P;?;0.0000;1.476;;;-24.7680;0.2980;S;200101;0.00E+00
;63;;33;As;3/2-;P;;0.0000;1.132;43 NS LT;;-33.5240;0.5030;S;200906;4.30E-08
;64;;33;As;;EC;100.00;0.0000;14.829;18 MS +43-7;;-39.3520;0.3020;S;200703;1.80E-02
;65;;33;As;;EC;100.00;0.0000;9.434;128 MS 16;;-46.9370;0.0840;;201009;1.28E-01
;66;;33;As;(0+);EC;100.00;0.0000;10.122;95.77 MS 23;;-52.0280;0.0250;;201004;9.58E-02
;67;;33;As;(5/2-);EC;100.00;0.0000;6.010;42.5 S 12;;-56.5850;0.0010;;200512;4.25E+01
;68;;33;As;3+;EC;100.00;0.0000;8.081;151.6 S 8;;-58.8940;0.0010;;200211;1.52E+02
;69;;33;As;5/2-;EC;100.00;0.0000;4.014;15.2 M 2;;-63.0860;0.0310;;200006;9.12E+02
;70;;33;As;4+;EC;100.00;0.0000;6.220;52.6 M 3;;-64.3410;0.0500;;200412;3.16E+03
;71;;33;As;5/2-;EC;100.00;0.0000;2.013;65.30 H 7;;-67.8930;0.0040;;201012;2.35E+05
;72;;33;As;2-;EC;100.00;0.0000;4.356;26.0 H 1;;-68.2290;0.0040;;201002;9.36E+04
;73;;33;As;3/2-;EC;100.00;0.0000;0.341;80.30 D 6;;-70.9520;0.0030;;200403;6.94E+06
